n,Rare trajectory?,Return,Time,Positions
22,True,-3.8799975579614454,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, -2, -1, 0, 1, 0, 1, 0, -1, 0, 1, 2, 1, 0, -1, 0)"
23,False,-5.902120590766602,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 1, 0, -1, -2, -1, -2, -3, -2)"
24,True,-0.49473179425578284,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, -2, -1, 0, -1, -2, -3, -4, -3, -4, -3, -2, -1, -2, -3, -2, -1, 0)"
25,False,-7.435676190090775,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 2, 3, 2, 3, 2, 1, 0, -1, -2, -1, 0, -1, -2, -1, 0, 1, 2)"
26,True,-1.3226176255757787,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 0, 1, 2, 3, 2, 3, 2, 1, 0, 1, 0, -1, 0, 1, 2, 3, 2, 1, 0)"
27,True,-2.4345744508655667,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 2, 1, 2, 3, 2, 1, 0)"
28,True,-4.64125175116994,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 2, 3, 2, 3, 2, 1, 0, -1, 0, 1, 0, 1, 2, 1, 0, 1, 0)"
29,True,-2.0264821259991037,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 2, 1, 2, 3, 2, 1, 0, -1, 0, -1, 0, -1, 0, -1, -2, -1, 0)"
30,True,-1.6176660265895935,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 2, 1, 2, 3, 2, 1, 0, -1, -2, -1, 0, 1, 0, -1, -2, -1, 0)"
31,True,-4.069330049582268,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, -2, -3, -2, -1, 0, -1, -2, -1, 0, -1, 0, -1, 0, 1, 0)"
32,False,-15.634147408301917,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, 1, 0, -1, 0, 1, 2, 1, 2, 1, 0, 1, 2, 3, 2, 3, 4)"
33,False,-3.308754420317344,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, 0, -1, 0, 1, 2, 3, 2, 1, 0, 1, 2, 1, 2, 3, 2)"
